62,"Maker","$627,643,870","$696.89","901,311","$21,541,182","2.66 %",2023-06-19 16:26:30.222167
63,"KuCoin","$610,609,824","$6.31","96,833,502","$3,917,846","-13.04 %",2023-06-19 16:26:30.222167
64,"Decentraland","$608,268,607","$0.33","1,824,333,807","$29,228,108","-2.98 %",2023-06-19 16:26:30.222167
67,"Synthetix Network","$575,837,299","$1.80","319,202,893","$11,170,573","-1.97 %",2023-06-19 16:26:30.222167
69,"Axie Infinity","$560,150,109","$4.85","115,661,359","$25,728,144","-2.94 %",2023-06-19 16:26:30.222167
71,"Gate","$548,391,661","$3.94","139,018,905","$596,342","-1.57 %",2023-06-19 16:26:30.222167
72,"NEO","$542,551,222","$7.69","70,530,000","$16,182,999","-2.47 %",2023-06-19 16:26:30.222167
73,"Curve DAO","$526,180,239","$0.62","854,012,443","$29,692,800","-2.71 %",2023-06-19 16:26:30.222167
74,"Terra Luna Classic","$519,056,575","$0.00","5,839,389,297,013","$34,419,218","-1.81 %",2023-06-19 16:26:30.222167
75,"Klaytn","$494,270,763","$0.16","3,131,670,938","$8,843,232","-1.20 %",2023-06-19 16:26:30.222167
76,"PAX Gold","$493,333,039","$1,928.31","255,841","$3,115,222","-0.03 %",2023-06-19 16:26:30.222167
77,"Tether Gold","$480,831,573","$1,950.59","246,524","$6,476,696","-0.47 %",2023-06-19 16:26:30.222167
78,"Flow","$481,383,664","$0.46","1,036,200,000","$12,735,942","-0.82 %",2023-06-19 16:26:30.222167
80,"Bitcoin SV","$476,892,816","$24.77","19,266,077","$7,815,876","-3.19 %",2023-06-19 16:26:30.222167
81,"Kava","$475,995,651","$0.82","580,163,999","$14,330,650","0.38 %",2023-06-19 16:26:30.222167
82,"cETH","$455,845,281","$34.54","13,197,951","$43","-1.04 %",2023-06-19 16:26:30.222167
85,"IOTA","$441,033,451","$0.16","2,779,530,283","$6,497,680","-1.99 %",2023-06-19 16:26:30.222167
87,"XDC Network","$428,846,123","$0.03","13,844,007,021","$2,246,755","-7.41 %",2023-06-19 16:26:30.222167
89,"Huobi","$423,085,709","$2.61","162,336,522","$7,740,690","-0.24 %",2023-06-19 16:26:30.222167
91,"cUSDC","$397,795,374","$0.02","17,377,702,478","$3","0.00 %",2023-06-19 16:26:30.222167
93,"Mina Protocol","$392,499,141","$0.43","919,890,369","$5,745,491","-0.90 %",2023-06-19 16:26:30.222167
95,"eCash","$389,849,142","$0.00","19,419,260,923,293","$1,965,649","-2.09 %",2023-06-19 16:26:30.222167
98,"DxChain Token","$94,790,225","$0.00","0","$156,923","3.37 %",2023-06-19 16:26:30.222167
100,"Chiliz","$361,048,783","$0.07","5,344,064,580","$21,952,950","-2.12 %",2023-06-19 16:26:30.222167
100,"Aave LINK","$330,885,424","$25.19","0","$11,646,285","3.32 %",2023-06-19 16:26:30.222167
1173,"Perth Mint Gold Token","$2,065,882","$1,786.56","1,157","$12,755","-0.03 %",2023-06-19 16:26:30.222167
1508,"Digix Gold Token","$1,169,772","$45.22","25,792","$0","-1.00 %",2023-06-19 16:26:30.222167
5920,"AurusGOLD","$0","$58.85","0","$41,716","-0.09 %",2023-06-19 16:26:30.222167
1,"Bitcoin","$515,774,320,177","$26,600.00","19,406,725","$6,224,707,238","0.00 %",2023-06-19 18:20:21.04249
2,"Ethereum","$207,555,521,053","$1,726.90","120,208,826","$4,759,915,684","-0.96 %",2023-06-19 18:20:21.04249
3,"Tether","$83,147,261,329","$1.00","83,173,876,278","$12,234,539,856","-0.16 %",2023-06-19 18:20:21.04249
4,"BNB","$37,590,058,781","$241.21","155,855,196","$349,530,543","-2.12 %",2023-06-19 18:20:21.04249
5,"USD Coin","$28,450,437,452","$1.00","28,453,127,428","$1,686,231,405","-0.18 %",2023-06-19 18:20:21.04249
6,"XRP","$25,629,678,222","$0.49","51,987,017,573","$846,427,302","-0.18 %",2023-06-19 18:20:21.04249
8,"Cardano","$9,110,678,899","$0.26","35,045,020,830","$127,686,194","-3.06 %",2023-06-19 18:20:21.04249
9,"Dogecoin","$8,689,356,822","$0.06","139,834,426,384","$198,646,944","-1.42 %",2023-06-19 18:20:21.04249
10,"TRON","$6,287,945,814","$0.07","90,031,288,401","$131,625,682","-1.02 %",2023-06-19 18:20:21.04249
11,"Solana","$6,251,530,408","$15.64","399,497,479","$130,904,674","-0.68 %",2023-06-19 18:20:21.04249
12,"Polygon","$5,637,539,629","$0.61","9,289,469,069","$167,191,364","-1.49 %",2023-06-19 18:20:21.04249
13,"Litecoin","$5,627,376,196","$76.82","73,179,771","$249,942,242","-1.69 %",2023-06-19 18:20:21.04249
14,"Polkadot","$5,577,193,193","$4.47","1,244,757,946","$84,875,299","-2.32 %",2023-06-19 18:20:21.04249
15,"Dai","$4,426,834,795","$1.00","4,424,812,647","$112,834,474","0.00 %",2023-06-19 18:20:21.04249
16,"Binance USD","$4,295,026,438","$1.00","4,295,869,951","$799,771,568","-0.24 %",2023-06-19 18:20:21.04249
17,"Shiba Inu","$4,205,858,577","$0.00","589,340,139,040,110","$117,393,981","-2.37 %",2023-06-19 18:20:21.04249
18,"Wrapped Bitcoin","$4,171,535,159","$26,587.00","156,927","$103,558,204","-0.07 %",2023-06-19 18:20:21.04249
19,"Avalanche","$3,910,196,602","$11.35","344,966,998","$87,795,965","-1.96 %",2023-06-19 18:20:21.04249
20,"Uniswap","$3,331,868,624","$4.42","753,766,667","$28,943,517","-3.25 %",2023-06-19 18:20:21.04249
21,"LEO Token","$3,291,276,648","$3.55","930,059,720","$685,071","-0.11 %",2023-06-19 18:20:21.04249
22,"TrueUSD","$3,135,136,250","$1.00","3,127,451,642","$140,286,436","-0.15 %",2023-06-19 18:20:21.04249
23,"Chainlink","$2,629,754,983","$5.09","517,099,972","$109,903,842","-3.21 %",2023-06-19 18:20:21.04249
24,"Monero","$2,512,361,339","$138.51","18,147,820","$50,418,715","-0.80 %",2023-06-19 18:20:21.04249
25,"OKB","$2,476,844,418","$41.22","60,000,000","$2,569,307","-0.94 %",2023-06-19 18:20:21.04249
